chain,draw,beta,estimate
0,324,0,13.52274334408982
0,324,1,0.813489024124655
0,325,0,13.514117487883025
0,325,1,0.9600579110319319
0,326,0,13.530223782471271
0,326,1,0.6216875097819438
0,327,0,13.562565336385608
0,327,1,0.37451047059945813
0,328,0,13.555255982977712
0,328,1,0.5214147664934532
0,329,0,13.482947085963916
0,329,1,1.1498198820888976
0,330,0,13.525316522342822
0,330,1,0.7621290347362273
0,331,0,13.540739610539989
0,331,1,0.5466203173790373
0,332,0,13.552147788151615
0,332,1,0.4995025759705462
0,333,0,13.49983324457463
0,333,1,1.0068409392926294
0,334,0,13.463255318437177
0,334,1,1.535405458961184
0,335,0,13.493599282392575
0,335,1,0.9192510915957485
0,336,0,13.53446910817193
0,336,1,0.8049932697599954
0,337,0,13.516142706085128
0,337,1,0.7335716288209283
0,338,0,13.49889285688013
0,338,1,0.9477478701579217
0,339,0,13.524072301954142
0,339,1,0.7376742960716527
0,340,0,13.539824835223353
0,340,1,0.6204882694378537
0,341,0,13.565332834273509
0,341,1,0.3673275544328585
0,342,0,13.448836324141942
0,342,1,1.295047123995561
0,343,0,13.610415037052727
0,343,1,-0.016743757145283967
0,344,0,13.483607429165467
0,344,1,1.1237056701936674
0,345,0,13.507936225804649
0,345,1,0.7875660423080236
0,346,0,13.598704788363557
0,346,1,0.08631086253406325
0,347,0,13.505549918294344
0,347,1,1.062863616195543
0,348,0,13.539500507086958
0,348,1,0.6692963268110755
0,349,0,13.501795909402935
0,349,1,0.8010284674581771
0,350,0,13.593361928756114
0,350,1,0.13151526699548252
0,351,0,13.444875141013068
0,351,1,1.570018190011243
0,352,0,13.601664777005107
0,352,1,0.0728336109705265
0,353,0,13.437884696419493
0,353,1,1.6638211677434847
0,354,0,13.496854440194975
0,354,1,1.1292013410493138
0,355,0,13.51885274618349
0,355,1,0.9405677771464306
0,356,0,13.447697312997878
0,356,1,1.2779100955371288
0,357,0,13.568802860080227
0,357,1,0.37621142302201244
0,358,0,13.457724167242134
0,358,1,1.4052881280485177
0,359,0,13.566230716220637
0,359,1,0.38593402183716335
0,360,0,13.541784773369002
0,360,1,0.5746487866370545
0,361,0,13.533378982456968
0,361,1,0.6314341268376582
0,362,0,13.581249591771552
0,362,1,0.30638947582225373
0,363,0,13.487368167682577
0,363,1,1.0598192951924614
0,364,0,13.600315703185668
0,364,1,0.07644185996466223
0,365,0,13.523605628462837
0,365,1,0.9593469551048102
0,366,0,13.518658099230922
0,366,1,0.7824651133819973
0,367,0,13.534191953461862
0,367,1,0.84866871935343
0,368,0,13.524368029684426
0,368,1,0.7084745613354823
0,369,0,13.529036161549833
0,369,1,0.8691988368803584
0,370,0,13.47464482648396
0,370,1,1.234096607821427
0,371,0,13.544116761143641
0,371,1,0.5734575054995904
0,372,0,13.533319156240301
0,372,1,0.6563652970974932
0,373,0,13.546874576786276
0,373,1,0.46514490068074316
0,374,0,13.546208324117043
0,374,1,0.6347771207025207
0,375,0,13.49886007765989
0,375,1,0.815587388312438
0,376,0,13.518046645541075
0,376,1,0.7651309092651134
0,377,0,13.493953024522316
0,377,1,1.2771526182911173
0,378,0,13.52206790067999
0,378,1,0.8226923524723105
0,379,0,13.499991562211688
0,379,1,1.0190151081277818
0,380,0,13.543498741223628
